;Datum;Von;bis;MW;Onshore MW;Offshore MW
Maximum;04.03.2019;13:00;13:15;16.217,058;15.206,014;1.011,044
Minimum;30.08.2019;07:45;08:00;54,575;26,139;28,436

"Datum";"Von";"bis";"MW";"Onshore MW";"Offshore MW";
01.01.2019;00:00;00:15;8.277,302;7.256,16;1.021,142;
01.01.2019;00:15;00:30;8.502,047;7.477,06;1.024,987;
01.01.2019;00:30;00:45;8.734,51;7.705,691;1.028,819;
01.01.2019;00:45;01:00;8.960,902;7.928,252;1.032,65;
01.01.2019;01:00;01:15;9.178,769;8.142,286;1.036,483;
01.01.2019;01:15;01:30;9.380,929;8.344,14;1.036,789;
01.01.2019;01:30;01:45;9.584,06;8.546,964;1.037,096;
01.01.2019;01:45;02:00;9.787,261;8.749,864;1.037,397;
01.01.2019;02:00;02:15;9.966,099;8.928,402;1.037,697;
01.01.2019;02:15;02:30;10.141,32;9.103,309;1.038,011;
01.01.2019;02:30;02:45;10.322,135;9.283,809;1.038,326;
01.01.2019;02:45;03:00;10.507,854;9.469,22;1.038,634;
01.01.2019;03:00;03:15;10.689,678;9.650,737;1.038,941;
01.01.2019;03:15;03:30;10.843,074;9.803,829;1.039,245;
01.01.2019;03:30;03:45;11.001,827;9.962,278;1.039,549;
01.01.2019;03:45;04:00;11.157,917;10.118,059;1.039,858;
01.01.2019;04:00;04:15;11.309,33;10.269,163;1.040,167;
01.01.2019;04:15;04:30;11.461,6;10.421,445;1.040,155;
01.01.2019;04:30;04:45;11.618,938;10.578,797;1.040,141;
01.01.2019;04:45;05:00;11.775,389;10.735,264;1.040,125;
01.01.2019;05:00;05:15;11.925,132;10.885,021;1.040,111;
01.01.2019;05:15;05:30;12.101,843;11.061,746;1.040,097;
01.01.2019;05:30;05:45;12.286,631;11.246,548;1.040,083;
01.01.2019;05:45;06:00;12.472,225;11.432,156;1.040,069;
01.01.2019;06:00;06:15;12.744,463;11.704,406;1.040,057;
01.01.2019;06:15;06:30;12.911,397;11.871,362;1.040,035;
01.01.2019;06:30;06:45;13.075,417;12.035,403;1.040,014;
01.01.2019;06:45;07:00;13.225,206;12.185,206;1.040;
01.01.2019;07:00;07:15;13.367,993;12.328,008;1.039,985;
01.01.2019;07:15;07:30;13.450,432;12.412,435;1.037,997;
01.01.2019;07:30;07:45;13.524,7;12.488,693;1.036,007;
01.01.2019;07:45;08:00;13.598,112;12.564,094;1.034,018;
01.01.2019;08:00;08:15;13.667,582;12.635,551;1.032,031;
01.01.2019;08:15;08:30;13.713,976;12.683,934;1.030,042;
01.01.2019;08:30;08:45;13.764,956;12.736,901;1.028,055;
01.01.2019;08:45;09:00;13.842,586;12.816,522;1.026,064;
01.01.2019;09:00;09:15;13.919,887;12.895,812;1.024,075;
01.01.2019;09:15;09:30;13.971,368;12.949,282;1.022,086;
01.01.2019;09:30;09:45;14.020,83;13.000,733;1.020,097;
01.01.2019;09:45;10:00;14.054,078;13.035,966;1.018,112;
01.01.2019;10:00;10:15;14.084,599;13.068,471;1.016,128;
01.01.2019;10:15;10:30;14.055,328;13.047,727;1.007,601;
01.01.2019;10:30;10:45;14.026,388;13.027,314;999,074;
01.01.2019;10:45;11:00;14.037,992;13.047,447;990,545;
01.01.2019;11:00;11:15;14.048,038;13.066,02;982,018;
01.01.2019;11:15;11:30;14.075,043;13.105,504;969,539;
01.01.2019;11:30;11:45;14.102,106;13.145,045;957,061;
01.01.2019;11:45;12:00;14.085,734;13.156,003;929,731;
01.01.2019;12:00;12:15;14.071,195;13.168,796;902,399;
01.01.2019;12:15;12:30;14.090,836;13.219,62;871,216;
01.01.2019;12:30;12:45;14.111,436;13.271,404;840,032;
01.01.2019;12:45;13:00;14.155,753;13.336,249;819,504;
01.01.2019;13:00;13:15;14.196,003;13.397,03;798,973;
01.01.2019;13:15;13:30;14.248,674;13.446,545;802,129;
01.01.2019;13:30;13:45;14.302,09;13.496,805;805,285;
01.01.2019;13:45;14:00;14.359,477;13.551,037;808,44;
01.01.2019;14:00;14:15;14.414,216;13.602,62;811,596;
01.01.2019;14:15;14:30;14.481,515;13.653,022;828,493;
01.01.2019;14:30;14:45;14.549,278;13.703,887;845,391;
01.01.2019;14:45;15:00;14.612,289;13.750,002;862,287;
01.01.2019;15:00;15:15;14.675,674;13.796,491;879,183;
01.01.2019;15:15;15:30;14.724,212;13.838,217;885,995;
01.01.2019;15:30;15:45;14.773,943;13.881,134;892,809;
01.01.2019;15:45;16:00;14.823,4;13.915,626;907,774;
01.01.2019;16:00;16:15;14.874,41;13.951,672;922,738;
01.01.2019;16:15;16:30;14.958,418;14.027,167;931,251;
01.01.2019;16:30;16:45;15.040,695;14.100,932;939,763;
01.01.2019;16:45;17:00;15.110,837;14.168,14;942,697;
01.01.2019;17:00;17:15;15.179,151;14.233,52;945,631;
01.01.2019;17:15;17:30;15.233,54;14.282,25;951,29;
01.01.2019;17:30;17:45;15.292,968;14.336,019;956,949;
01.01.2019;17:45;18:00;15.349,009;14.394,007;955,002;
01.01.2019;18:00;18:15;15.400,17;14.447,115;953,055;
01.01.2019;18:15;18:30;15.489,46;14.532,055;957,405;
01.01.2019;18:30;18:45;15.581,484;14.619,731;961,753;
01.01.2019;18:45;19:00;15.664,179;14.698,1;966,079;
01.01.2019;19:00;19:15;15.744,432;14.774,027;970,405;
01.01.2019;19:15;19:30;15.787,735;14.817,147;970,588;
01.01.2019;19:30;19:45;15.827,25;14.856,479;970,771;
01.01.2019;19:45;20:00;15.847,501;14.876,55;970,951;
01.01.2019;20:00;20:15;15.867,162;14.896,029;971,133;
01.01.2019;20:15;20:30;15.897,098;14.926,207;970,891;
01.01.2019;20:30;20:45;15.929,293;14.958,645;970,648;
01.01.2019;20:45;21:00;15.969,567;14.999,157;970,41;
01.01.2019;21:00;21:15;16.006,207;15.036,035;970,172;
01.01.2019;21:15;21:30;16.014,15;15.044,195;969,955;
01.01.2019;21:30;21:45;16.018,415;15.048,677;969,738;
01.01.2019;21:45;22:00;16.023,702;15.054,17;969,532;
01.01.2019;22:00;22:15;15.896,052;14.926,728;969,324;
01.01.2019;22:15;22:30;15.875,711;14.908,475;967,236;
01.01.2019;22:30;22:45;15.851,786;14.886,639;965,147;
01.01.2019;22:45;23:00;15.818,494;14.855,439;963,055;
01.01.2019;23:00;23:15;15.775,93;14.814,965;960,965;
01.01.2019;23:15;23:30;15.744,391;14.785,719;958,672;
01.01.2019;23:30;23:45;15.706,291;14.749,903;956,388;
01.01.2019;23:45;00:00;15.638,651;14.684,663;953,988;
02.01.2019;00:00;00:15;15.360,997;14.340,495;1.020,502;
02.01.2019;00:15;00:30;15.315,084;14.294,827;1.020,257;
02.01.2019;00:30;00:45;15.268,234;14.248,223;1.020,011;
02.01.2019;00:45;01:00;15.207,324;14.187,56;1.019,764;
02.01.2019;01:00;01:15;15.134,877;14.115,36;1.019,517;
02.01.2019;01:15;01:30;15.119,834;14.102,103;1.017,731;
02.01.2019;01:30;01:45;15.101,645;14.085,699;1.015,946;
02.01.2019;01:45;02:00;15.098,916;14.088,077;1.010,839;
02.01.2019;02:00;02:15;15.195,583;14.189,851;1.005,732;
02.01.2019;02:15;02:30;15.154,515;14.146,693;1.007,822;
02.01.2019;02:30;02:45;15.113,085;14.103,174;1.009,911;
02.01.2019;02:45;03:00;15.058,337;14.046,133;1.012,204;
02.01.2019;03:00;03:15;15.003,152;13.988,654;1.014,498;
02.01.2019;03:15;03:30;14.959,931;13.946,119;1.013,812;
02.01.2019;03:30;03:45;14.915,871;13.902,744;1.013,127;
02.01.2019;03:45;04:00;14.847,713;13.835,284;1.012,429;
02.01.2019;04:00;04:15;14.780,874;13.769,144;1.011,73;
02.01.2019;04:15;04:30;14.738,296;13.725,61;1.012,686;
02.01.2019;04:30;04:45;14.692,877;13.679,233;1.013,644;
02.01.2019;04:45;05:00;14.605,058;13.590,455;1.014,603;
02.01.2019;05:00;05:15;14.515,624;13.500,061;1.015,563;
02.01.2019;05:15;05:30;14.474,459;13.456,403;1.018,056;
02.01.2019;05:30;05:45;14.432,073;13.411,523;1.020,55;
02.01.2019;05:45;06:00;14.369,774;13.346,731;1.023,043;
02.01.2019;06:00;06:15;14.423,202;13.397,668;1.025,534;
02.01.2019;06:15;06:30;14.415,115;13.388,374;1.026,741;
02.01.2019;06:30;06:45;14.405,515;13.377,566;1.027,949;
02.01.2019;06:45;07:00;14.379,457;13.350,299;1.029,158;
02.01.2019;07:00;07:15;14.353,711;13.323,343;1.030,368;
02.01.2019;07:15;07:30;14.306,26;13.275,773;1.030,487;
02.01.2019;07:30;07:45;14.252,979;13.222,375;1.030,604;
02.01.2019;07:45;08:00;14.222,253;13.191,527;1.030,726;
02.01.2019;08:00;08:15;14.191,294;13.160,446;1.030,848;
02.01.2019;08:15;08:30;14.114,974;13.084,007;1.030,967;
02.01.2019;08:30;08:45;14.040,068;13.008,983;1.031,085;
02.01.2019;08:45;09:00;13.962,418;12.931,213;1.031,205;
02.01.2019;09:00;09:15;13.885,093;12.853,77;1.031,323;
02.01.2019;09:15;09:30;13.817,693;12.786,25;1.031,443;
02.01.2019;09:30;09:45;13.742,232;12.710,671;1.031,561;
02.01.2019;09:45;10:00;13.687,431;12.655,753;1.031,678;
02.01.2019;10:00;10:15;13.641,905;12.610,109;1.031,796;
02.01.2019;10:15;10:30;13.615,664;12.586,184;1.029,48;
02.01.2019;10:30;10:45;13.591,528;12.564,365;1.027,163;
02.01.2019;10:45;11:00;13.531,84;12.506,989;1.024,851;
02.01.2019;11:00;11:15;13.477,96;12.455,421;1.022,539;
02.01.2019;11:15;11:30;13.470,629;12.450,402;1.020,227;
02.01.2019;11:30;11:45;13.466,776;12.448,861;1.017,915;
02.01.2019;11:45;12:00;13.482,035;12.466,438;1.015,597;
02.01.2019;12:00;12:15;13.495,262;12.481,981;1.013,281;
02.01.2019;12:15;12:30;13.505,353;12.494,392;1.010,961;
02.01.2019;12:30;12:45;13.518,148;12.509,506;1.008,642;
02.01.2019;12:45;13:00;13.514,819;12.508,496;1.006,323;
02.01.2019;13:00;13:15;13.510,135;12.506,132;1.004,003;
02.01.2019;13:15;13:30;13.441,548;12.439,973;1.001,575;
02.01.2019;13:30;13:45;13.364,528;12.365,381;999,147;
02.01.2019;13:45;14:00;13.267,336;12.270,616;996,72;
02.01.2019;14:00;14:15;13.172,119;12.177,825;994,294;
02.01.2019;14:15;14:30;12.974,475;11.982,605;991,87;
02.01.2019;14:30;14:45;12.776,12;11.786,673;989,447;
02.01.2019;14:45;15:00;12.542,879;11.555,855;987,024;
02.01.2019;15:00;15:15;12.302,179;11.317,577;984,602;
02.01.2019;15:15;15:30;12.030,286;11.048,113;982,173;
02.01.2019;15:30;15:45;11.751,647;10.771,902;979,745;
02.01.2019;15:45;16:00;11.485,651;10.508,333;977,318;
02.01.2019;16:00;16:15;11.225,48;10.250,588;974,892;
02.01.2019;16:15;16:30;11.041,75;10.069,228;972,522;
02.01.2019;16:30;16:45;10.847,946;9.877,794;970,152;
02.01.2019;16:45;17:00;10.695,554;9.727,776;967,778;
02.01.2019;17:00;17:15;10.542,943;9.577,539;965,404;
02.01.2019;17:15;17:30;10.395,246;9.432,206;963,04;
02.01.2019;17:30;17:45;10.243,932;9.283,255;960,677;
02.01.2019;17:45;18:00;10.121,325;9.163,012;958,313;
02.01.2019;18:00;18:15;10.003,005;9.047,057;955,948;
02.01.2019;18:15;18:30;9.901,504;8.947,941;953,563;
02.01.2019;18:30;18:45;9.805,29;8.854,122;951,168;
02.01.2019;18:45;19:00;9.731,691;8.782,944;948,747;
02.01.2019;19:00;19:15;9.662,554;8.716,238;946,316;
02.01.2019;19:15;19:30;9.539,532;8.595,254;944,278;
02.01.2019;19:30;19:45;9.412,177;8.469,942;942,235;
02.01.2019;19:45;20:00;9.318,766;8.378,569;940,197;
02.01.2019;20:00;20:15;9.223,892;8.285,734;938,158;
02.01.2019;20:15;20:30;9.103,644;8.167,512;936,132;
02.01.2019;20:30;20:45;8.983,079;8.048,973;934,106;
02.01.2019;20:45;21:00;8.888,764;7.956,683;932,081;
02.01.2019;21:00;21:15;8.794,563;7.864,536;930,027;
02.01.2019;21:15;21:30;8.677,19;7.749,279;927,911;
02.01.2019;21:30;21:45;8.559,077;7.633,339;925,738;
02.01.2019;21:45;22:00;8.472,561;7.549,042;923,519;
02.01.2019;22:00;22:15;8.325,478;7.404,137;921,341;
02.01.2019;22:15;22:30;8.255,217;7.336,405;918,812;
02.01.2019;22:30;22:45;8.184,891;7.268,593;916,298;
02.01.2019;22:45;23:00;8.115,521;7.201,708;913,813;
02.01.2019;23:00;23:15;8.047,352;7.136,031;911,321;
02.01.2019;23:15;23:30;8.026,93;7.118,621;908,309;
02.01.2019;23:30;23:45;8.006,997;7.101,597;905,4;
02.01.2019;23:45;00:00;7.986,368;7.083,74;902,628;
03.01.2019;00:00;00:15;7.500,285;6.497,152;1.003,133;
03.01.2019;00:15;00:30;7.487,42;6.485,237;1.002,183;
03.01.2019;00:30;00:45;7.473,595;6.472,405;1.001,19;
03.01.2019;00:45;01:00;7.455,929;6.456,544;999,385;
03.01.2019;01:00;01:15;7.446,21;6.448,613;997,597;
03.01.2019;01:15;01:30;7.436,263;6.440,506;995,757;
03.01.2019;01:30;01:45;7.425,718;6.431,813;993,905;
03.01.2019;01:45;02:00;7.414,748;6.422,098;992,65;
03.01.2019;02:00;02:15;7.389,217;6.397,798;991,419;
03.01.2019;02:15;02:30;7.394,481;6.401,767;992,714;
03.01.2019;02:30;02:45;7.401,892;6.407,809;994,083;
03.01.2019;02:45;03:00;7.411,621;6.415,937;995,684;
03.01.2019;03:00;03:15;7.420,395;6.423,159;997,236;
03.01.2019;03:15;03:30;7.463,912;6.462,388;1.001,524;
03.01.2019;03:30;03:45;7.505,945;6.500,139;1.005,806;
03.01.2019;03:45;04:00;7.547,897;6.537,821;1.010,076;
03.01.2019;04:00;04:15;7.586,778;6.572,476;1.014,302;
03.01.2019;04:15;04:30;7.615,831;6.604,338;1.011,493;
03.01.2019;04:30;04:45;7.644,974;6.636,305;1.008,669;
03.01.2019;04:45;05:00;7.675,906;6.669,918;1.005,988;
03.01.2019;05:00;05:15;7.706,53;6.703,232;1.003,298;
03.01.2019;05:15;05:30;7.734,312;6.738,191;996,121;
03.01.2019;05:30;05:45;7.763,695;6.774,751;988,944;
03.01.2019;05:45;06:00;7.794,82;6.812,906;981,914;
03.01.2019;06:00;06:15;7.884,597;6.909,731;974,866;
03.01.2019;06:15;06:30;7.915,753;6.948,585;967,168;
03.01.2019;06:30;06:45;7.946,506;6.987,035;959,471;
03.01.2019;06:45;07:00;7.977,093;7.025,781;951,312;
03.01.2019;07:00;07:15;8.006,88;7.063,731;943,149;
03.01.2019;07:15;07:30;7.997,6;7.063,917;933,683;
03.01.2019;07:30;07:45;7.985,742;7.061,608;924,134;
03.01.2019;07:45;08:00;7.967,375;7.054,045;913,33;
03.01.2019;08:00;08:15;7.950,188;7.047,663;902,525;
03.01.2019;08:15;08:30;7.903,786;7.014,18;889,606;
03.01.2019;08:30;08:45;7.857,091;6.980,452;876,639;
03.01.2019;08:45;09:00;7.807,219;6.944,529;862,69;
03.01.2019;09:00;09:15;7.751,367;6.902,64;848,727;
03.01.2019;09:15;09:30;7.651,623;6.826,47;825,153;
03.01.2019;09:30;09:45;7.550,177;6.748,585;801,592;
03.01.2019;09:45;10:00;7.457,602;6.678,716;778,886;
03.01.2019;10:00;10:15;7.368,214;6.612,051;756,163;
03.01.2019;10:15;10:30;7.231,996;6.492,045;739,951;
03.01.2019;10:30;10:45;7.095,196;6.371,473;723,723;
03.01.2019;10:45;11:00;6.965,749;6.258,354;707,395;
03.01.2019;11:00;11:15;6.835,428;6.144,262;691,166;
03.01.2019;11:15;11:30;6.733,397;6.057,343;676,054;
03.01.2019;11:30;11:45;6.631,236;5.970,73;660,506;
03.01.2019;11:45;12:00;6.532,956;5.888,793;644,163;
03.01.2019;12:00;12:15;6.435,446;5.807,583;627,863;
03.01.2019;12:15;12:30;6.363,866;5.750,336;613,53;
03.01.2019;12:30;12:45;6.292,745;5.694,786;597,959;
03.01.2019;12:45;13:00;6.217,511;5.636,169;581,342;
03.01.2019;13:00;13:15;6.139,68;5.576,803;562,877;
03.01.2019;13:15;13:30;6.029,316;5.486,991;542,325;
03.01.2019;13:30;13:45;5.912,979;5.389,819;523,16;
03.01.2019;13:45;14:00;5.777,162;5.272,997;504,165;
03.01.2019;14:00;14:15;5.641,854;5.155,961;485,893;
03.01.2019;14:15;14:30;5.485,532;5.017,492;468,04;
03.01.2019;14:30;14:45;5.324,509;4.874,32;450,189;
03.01.2019;14:45;15:00;5.178,015;4.743,045;434,97;
03.01.2019;15:00;15:15;5.044,688;4.624,933;419,755;
03.01.2019;15:15;15:30;4.957,542;4.548,517;409,025;
03.01.2019;15:30;15:45;4.873,452;4.475,157;398,295;
03.01.2019;15:45;16:00;4.806,878;4.419,911;386,967;
03.01.2019;16:00;16:15;4.744,181;4.368,54;375,641;
03.01.2019;16:15;16:30;4.716,631;4.350,378;366,253;
03.01.2019;16:30;16:45;4.687,313;4.330,434;356,879;
03.01.2019;16:45;17:00;4.650,784;4.302,477;348,307;
03.01.2019;17:00;17:15;4.615,758;4.276,021;339,737;
03.01.2019;17:15;17:30;4.563,531;4.240,387;323,144;
03.01.2019;17:30;17:45;4.508,241;4.201,749;306,492;
03.01.2019;17:45;18:00;4.441,686;4.151,972;289,714;
03.01.2019;18:00;18:15;4.375,931;4.102,987;272,944;
03.01.2019;18:15;18:30;4.263,677;4.007,62;256,057;
03.01.2019;18:30;18:45;4.147,69;3.907,904;239,786;
03.01.2019;18:45;19:00;4.031,834;3.808,273;223,561;
03.01.2019;19:00;19:15;3.921,098;3.713,724;207,374;
03.01.2019;19:15;19:30;3.797,857;3.605,533;192,324;
03.01.2019;19:30;19:45;3.674,059;3.497,107;176,952;
03.01.2019;19:45;20:00;3.546,341;3.384,371;161,97;
03.01.2019;20:00;20:15;3.416,451;3.268,983;147,468;
03.01.2019;20:15;20:30;3.299,098;3.163,089;136,009;
03.01.2019;20:30;20:45;3.179,468;3.054,914;124,554;
03.01.2019;20:45;21:00;3.066,151;2.952,769;113,382;
03.01.2019;21:00;21:15;2.955,121;2.852,922;102,199;
03.01.2019;21:15;21:30;2.841,512;2.748,593;92,919;
03.01.2019;21:30;21:45;2.728,48;2.644,891;83,589;
03.01.2019;21:45;22:00;2.619,052;2.544,597;74,455;
03.01.2019;22:00;22:15;2.491,781;2.426,405;65,376;
03.01.2019;22:15;22:30;2.407,695;2.342,796;64,899;
03.01.2019;22:30;22:45;2.321,606;2.257,204;64,402;
03.01.2019;22:45;23:00;2.237,906;2.173,559;64,347;
03.01.2019;23:00;23:15;2.155,446;2.091,125;64,321;
03.01.2019;23:15;23:30;2.100,806;2.032,742;68,064;
03.01.2019;23:30;23:45;2.048,516;1.976,735;71,781;
03.01.2019;23:45;00:00;1.998,679;1.922,877;75,802;
04.01.2019;00:00;00:15;2.252,08;2.160,604;91,476;
04.01.2019;00:15;00:30;2.255,301;2.146,661;108,64;
04.01.2019;00:30;00:45;2.258,843;2.133,023;125,82;
04.01.2019;00:45;01:00;2.265,173;2.121,648;143,525;
04.01.2019;01:00;01:15;2.261,303;2.100,022;161,281;
04.01.2019;01:15;01:30;2.335,544;2.147,577;187,967;
04.01.2019;01:30;01:45;2.411,753;2.197,049;214,704;
04.01.2019;01:45;02:00;2.491,829;2.249,624;242,205;
04.01.2019;02:00;02:15;2.607,55;2.337,881;269,669;
04.01.2019;02:15;02:30;2.729,541;2.435,831;293,71;
04.01.2019;02:30;02:45;2.853,973;2.536,214;317,759;
04.01.2019;02:45;03:00;2.980,763;2.640,503;340,26;
04.01.2019;03:00;03:15;3.109,555;2.746,79;362,765;
04.01.2019;03:15;03:30;3.265,995;2.872,984;393,011;
04.01.2019;03:30;03:45;3.427,178;3.003,91;423,268;
04.01.2019;03:45;04:00;3.595,586;3.136,852;458,734;
04.01.2019;04:00;04:15;3.758,934;3.264,709;494,225;
04.01.2019;04:15;04:30;3.931,43;3.415,894;515,536;
04.01.2019;04:30;04:45;4.103,886;3.567,009;536,877;
04.01.2019;04:45;05:00;4.271,63;3.716,559;555,071;
04.01.2019;05:00;05:15;4.437,868;3.864,664;573,204;
04.01.2019;05:15;05:30;4.625,237;4.034,427;590,81;
04.01.2019;05:30;05:45;4.811,425;4.203,016;608,409;
04.01.2019;05:45;06:00;5.001,761;4.380,65;621,111;
04.01.2019;06:00;06:15;5.228,602;4.594,78;633,822;
04.01.2019;06:15;06:30;5.430,957;4.780,939;650,018;
04.01.2019;06:30;06:45;5.633,748;4.967,469;666,279;
04.01.2019;06:45;07:00;5.824,89;5.147,167;677,723;
04.01.2019;07:00;07:15;6.009,131;5.320,045;689,086;
04.01.2019;07:15;07:30;6.160,253;5.464,992;695,261;
04.01.2019;07:30;07:45;6.312,087;5.610,692;701,395;
04.01.2019;07:45;08:00;6.458,311;5.749,658;708,653;
04.01.2019;08:00;08:15;6.598,299;5.882,336;715,963;
04.01.2019;08:15;08:30;6.731,407;6.010,763;720,644;
04.01.2019;08:30;08:45;6.866,453;6.141,101;725,352;
04.01.2019;08:45;09:00;6.999,796;6.272,927;726,869;
04.01.2019;09:00;09:15;7.127,494;6.399,129;728,365;
04.01.2019;09:15;09:30;7.244,999;6.521,172;723,827;
04.01.2019;09:30;09:45;7.362,961;6.643,635;719,326;
04.01.2019;09:45;10:00;7.480,983;6.764,552;716,431;
04.01.2019;10:00;10:15;7.598,109;6.884,628;713,481;
04.01.2019;10:15;10:30;7.680,546;6.976,786;703,76;
04.01.2019;10:30;10:45;7.765,824;7.071,829;693,995;
04.01.2019;10:45;11:00;7.855,332;7.168,902;686,43;
04.01.2019;11:00;11:15;7.940,775;7.261,873;678,902;
04.01.2019;11:15;11:30;8.027,808;7.358,894;668,914;
04.01.2019;11:30;11:45;8.121,587;7.462,653;658,934;
04.01.2019;11:45;12:00;8.199,575;7.552,779;646,796;
04.01.2019;12:00;12:15;8.274,105;7.639,454;634,651;
04.01.2019;12:15;12:30;8.361,645;7.736,055;625,59;
04.01.2019;12:30;12:45;8.451,838;7.835,459;616,379;
04.01.2019;12:45;13:00;8.530,161;7.926,856;603,305;
04.01.2019;13:00;13:15;8.609,251;8.018,89;590,361;
04.01.2019;13:15;13:30;8.634,044;8.051,076;582,968;
04.01.2019;13:30;13:45;8.660,985;8.085,403;575,582;
04.01.2019;13:45;14:00;8.682,984;8.109,207;573,777;
04.01.2019;14:00;14:15;8.703,541;8.131,545;571,996;
04.01.2019;14:15;14:30;8.693,237;8.119,603;573,634;
04.01.2019;14:30;14:45;8.686,095;8.110,822;575,273;
04.01.2019;14:45;15:00;8.670,736;8.094,147;576,589;
04.01.2019;15:00;15:15;8.656,163;8.078,264;577,899;
04.01.2019;15:15;15:30;8.626,582;8.056,183;570,399;
04.01.2019;15:30;15:45;8.600,216;8.037,343;562,873;
04.01.2019;15:45;16:00;8.575,607;8.017,841;557,766;
04.01.2019;16:00;16:15;8.552,913;8.000,222;552,691;
04.01.2019;16:15;16:30;8.530,879;7.962,03;568,849;
04.01.2019;16:30;16:45;8.509,674;7.924,606;585,068;
04.01.2019;16:45;17:00;8.498,917;7.898,144;600,773;
04.01.2019;17:00;17:15;8.488,465;7.872,044;616,421;
04.01.2019;17:15;17:30;8.485,038;7.852,709;632,329;
04.01.2019;17:30;17:45;8.481,503;7.833,28;648,223;
04.01.2019;17:45;18:00;8.484,286;7.819,276;665,01;
04.01.2019;18:00;18:15;8.486,768;7.804,954;681,814;
04.01.2019;18:15;18:30;8.498,24;7.801,818;696,422;
04.01.2019;18:30;18:45;8.510,779;7.799,732;711,047;
04.01.2019;18:45;19:00;8.530,195;7.805,676;724,519;
04.01.2019;19:00;19:15;8.545,958;7.807,962;737,996;
04.01.2019;19:15;19:30;8.593,576;7.840,978;752,598;
04.01.2019;19:30;19:45;8.643,602;7.876,379;767,223;
04.01.2019;19:45;20:00;8.693,117;7.912,691;780,426;
04.01.2019;20:00;20:15;8.741,805;7.948,187;793,618;
04.01.2019;20:15;20:30;8.798,281;7.992,455;805,826;
04.01.2019;20:30;20:45;8.855,084;8.037,053;818,031;
04.01.2019;20:45;21:00;8.906,916;8.077,602;829,314;
04.01.2019;21:00;21:15;8.958,302;8.117,729;840,573;
04.01.2019;21:15;21:30;9.009,159;8.155,916;853,243;
04.01.2019;21:30;21:45;9.062,132;8.196,224;865,908;
04.01.2019;21:45;22:00;9.115,452;8.237,331;878,121;
04.01.2019;22:00;22:15;9.100,935;8.210,592;890,343;
04.01.2019;22:15;22:30;9.142,872;8.254,563;888,309;
04.01.2019;22:30;22:45;9.186,148;8.299,766;886,382;
04.01.2019;22:45;23:00;9.234,052;8.349,861;884,191;
04.01.2019;23:00;23:15;9.278,806;8.396,913;881,893;
04.01.2019;23:15;23:30;9.340,046;8.467,957;872,089;
04.01.2019;23:30;23:45;9.397,294;8.536,309;860,985;
04.01.2019;23:45;00:00;9.450,148;8.601,919;848,229;
05.01.2019;00:00;00:15;9.164,479;8.370,906;793,573;
05.01.2019;00:15;00:30;9.238,244;8.460,24;778,004;
05.01.2019;00:30;00:45;9.314,265;8.551,851;762,414;
05.01.2019;00:45;01:00;9.378,098;8.633,726;744,372;
05.01.2019;01:00;01:15;9.442,294;8.715,907;726,387;
05.01.2019;01:15;01:30;9.476,847;8.771,377;705,47;
05.01.2019;01:30;01:45;9.509,181;8.824,636;684,545;
05.01.2019;01:45;02:00;9.536,183;8.870,984;665,199;
05.01.2019;02:00;02:15;9.517,291;8.871,442;645,849;
05.01.2019;02:15;02:30;9.534,44;8.894,983;639,457;
05.01.2019;02:30;02:45;9.552,49;8.919,469;633,021;
05.01.2019;02:45;03:00;9.569,672;8.942,612;627,06;
05.01.2019;03:00;03:15;9.586,137;8.964,985;621,152;
05.01.2019;03:15;03:30;9.607,357;8.988,262;619,095;
05.01.2019;03:30;03:45;9.628,367;9.011,316;617,051;
05.01.2019;03:45;04:00;9.649,542;9.032,611;616,931;
05.01.2019;04:00;04:15;9.676,109;9.059,283;616,826;
05.01.2019;04:15;04:30;9.687,172;9.063,862;623,31;
05.01.2019;04:30;04:45;9.699,308;9.069,455;629,853;
05.01.2019;04:45;05:00;9.698,357;9.062,801;635,556;
05.01.2019;05:00;05:15;9.697,926;9.056,664;641,262;
05.01.2019;05:15;05:30;9.676,796;9.031,002;645,794;
05.01.2019;05:30;05:45;9.654,243;9.003,893;650,35;
05.01.2019;05:45;06:00;9.630,034;8.975,946;654,088;
05.01.2019;06:00;06:15;9.681,853;9.024,047;657,806;
05.01.2019;06:15;06:30;9.629,121;8.969,528;659,593;
05.01.2019;06:30;06:45;9.574,222;8.912,949;661,273;
05.01.2019;06:45;07:00;9.527,056;8.865,52;661,536;
05.01.2019;07:00;07:15;9.479,715;8.817,829;661,886;
05.01.2019;07:15;07:30;9.339,133;8.684,188;654,945;
05.01.2019;07:30;07:45;9.197,402;8.549,38;648,022;
05.01.2019;07:45;08:00;9.047,452;8.407,083;640,369;
05.01.2019;08:00;08:15;8.896,691;8.263,928;632,763;
05.01.2019;08:15;08:30;8.712,082;8.080,164;631,918;
05.01.2019;08:30;08:45;8.528,782;7.897,647;631,135;
05.01.2019;08:45;09:00;8.338,118;7.706,777;631,341;
05.01.2019;09:00;09:15;8.158,285;7.526,72;631,565;
05.01.2019;09:15;09:30;8.004,91;7.360,37;644,54;
05.01.2019;09:30;09:45;7.851,347;7.193,785;657,562;
05.01.2019;09:45;10:00;7.722,154;7.050,538;671,616;
05.01.2019;10:00;10:15;7.594,441;6.908,888;685,553;
05.01.2019;10:15;10:30;7.427,141;6.759,324;667,817;
